,ip,time,method,url,status,size,user_agent
20,20.171.207.17,2025-04-17 05:20:31+01:00,GET,/retrocomputing/,200,7614,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
21,84.203.1.217,2025-04-17 05:20:52+01:00,POST,/wp-cron.php?doing_wp_cron=1744863651.7020800113677978515625,200,0,WordPress/6.8; https://website.local.lan
22,20.171.207.17,2025-04-17 05:20:52+01:00,GET,/feed/,200,856,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
23,20.171.207.17,2025-04-17 05:21:12+01:00,GET,/mountains/nggallery/album/valnontey-val-daosta-italy-7,200,10452,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
24,20.171.207.17,2025-04-17 05:21:33+01:00,GET,/wp-content/uploads/2021/01/landscape11-thumb.jpg,200,533876,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
25,84.203.1.217,2025-04-17 05:21:54+01:00,POST,/wp-cron.php?doing_wp_cron=1744863713.9694640636444091796875,200,0,WordPress/6.8; https://website.local.lan
26,20.171.207.17,2025-04-17 05:21:54+01:00,GET,/mountains/nggallery/album/valgrisenche-val-daosta-italy,200,10844,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
27,20.171.207.17,2025-04-17 05:22:15+01:00,GET,/wp-content/themes/simple-grid/assets/js/html5shiv.js,200,3050,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
28,20.171.207.17,2025-04-17 05:24:38+01:00,GET,/wp-content/uploads/2021/01/raw__MG_5997-thumb.jpe,200,337319,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
29,84.203.1.217,2025-04-17 05:25:00+01:00,POST,/wp-cron.php?doing_wp_cron=1744863899.4537940025329589843750,200,0,WordPress/6.8; https://website.local.lan
30,20.171.207.17,2025-04-17 05:25:00+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
31,20.171.207.17,2025-04-17 05:25:21+01:00,GET,/mountains/nggallery/album/valsavarenche-val-daosta-italy,200,11182,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
32,20.171.207.17,2025-04-17 05:25:42+01:00,GET,/wp-content/themes/simple-grid/assets/js/navigation.js,200,1483,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
33,84.203.1.217,2025-04-17 05:26:04+01:00,POST,/wp-cron.php?doing_wp_cron=1744863963.8080379962921142578125,200,0,WordPress/6.8; https://website.local.lan
34,20.171.207.17,2025-04-17 05:26:04+01:00,GET,/mountains/nggallery/album/vertosan-val-daosta-italy,200,10092,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
35,84.203.1.217,2025-04-17 05:26:25+01:00,POST,/wp-cron.php?doing_wp_cron=1744863985.1678149700164794921875,200,0,WordPress/6.8; https://website.local.lan
36,20.171.207.17,2025-04-17 05:26:25+01:00,GET,/mountains/nggallery/album/valdigne-val-daosta-italy,200,10499,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
37,20.171.207.17,2025-04-17 05:26:47+01:00,GET,/wp-content/themes/simple-grid/assets/js/custom.js,200,1583,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
38,20.171.207.17,2025-04-17 05:27:07+01:00,GET,/wp-content/uploads/2021/01/raw__MG_5997-thumb-360x360.jpe,200,24296,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
39,84.203.1.217,2025-04-17 05:27:30+01:00,POST,/wp-cron.php?doing_wp_cron=1744864049.4494559764862060546875,200,0,WordPress/6.8; https://website.local.lan
40,20.171.207.17,2025-04-17 05:27:30+01:00,GET,/wp-json/wp/v2/pages/1433,200,2561,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
41,84.203.1.217,2025-04-17 05:27:53+01:00,POST,/wp-cron.php?doing_wp_cron=1744864072.3707480430603027343750,200,0,WordPress/6.8; https://website.local.lan
42,20.171.207.17,2025-04-17 05:27:53+01:00,GET,/castles/nggallery/czech-republic,200,9722,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
43,194.38.23.16,2025-04-17 05:28:48+01:00,GET,/sites/all/libraries/elfinder/src/connectors/php/connector.php,403,17034,ALittle Client
44,84.203.1.217,2025-04-17 05:30:13+01:00,POST,/?wordfence_syncAttackData=1744864212.4561,200,0,WordPress/6.8; https://website.local.lan
45,84.203.1.217,2025-04-17 05:30:13+01:00,POST,/wp-cron.php?doing_wp_cron=1744864213.1507499217987060546875,200,0,WordPress/6.8; https://website.local.lan
46,20.171.207.17,2025-04-17 05:30:13+01:00,GET,/castles,301,0,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
47,84.203.1.217,2025-04-17 05:30:35+01:00,POST,/wp-cron.php?doing_wp_cron=1744864234.7815680503845214843750,200,0,WordPress/6.8; https://website.local.lan
48,20.171.207.17,2025-04-17 05:30:35+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
49,20.171.207.17,2025-04-17 05:30:56+01:00,GET,/castles/nggallery/czech-republic/konopiste-czech-republic,200,10673,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
50,20.171.207.17,2025-04-17 05:31:18+01:00,GET,/castles/nggallery/czech-republic/karlstejn-czech-republic,200,11431,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
51,84.203.1.217,2025-04-17 05:31:40+01:00,POST,/wp-cron.php?doing_wp_cron=1744864300.1475930213928222656250,200,0,WordPress/6.8; https://website.local.lan
52,20.171.207.17,2025-04-17 05:31:40+01:00,GET,/music/nggallery/loreena-mckennitt,200,9674,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
53,20.171.207.17,2025-04-17 05:32:02+01:00,GET,/music/nggallery/album/the-dublin-legends,200,11159,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
54,20.171.207.17,2025-04-17 05:32:25+01:00,GET,/castles/feed/,200,414,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
55,84.203.1.217,2025-04-17 05:32:47+01:00,POST,/wp-cron.php?doing_wp_cron=1744864367.4329578876495361328125,200,0,WordPress/6.8; https://website.local.lan
56,20.171.207.17,2025-04-17 05:32:47+01:00,GET,/travels/feed/,200,415,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
57,20.171.207.17,2025-04-17 05:33:09+01:00,GET,/castles/nggallery/italy,200,9807,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
58,20.171.207.17,2025-04-17 05:33:33+01:00,GET,/music/nggallery/album/crash-kings,200,10441,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
59,84.203.1.217,2025-04-17 05:35:54+01:00,POST,/wp-cron.php?doing_wp_cron=1744864553.6036040782928466796875,499,0,WordPress/6.8; https://website.local.lan
60,20.171.207.17,2025-04-17 05:35:54+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
61,20.171.207.17,2025-04-17 05:36:15+01:00,GET,/wp-content/gallery/concert-in-busto-arsizio-italy/raw__MG_1336-thumb.jpg,200,284586,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
62,84.203.1.217,2025-04-17 05:36:38+01:00,POST,/wp-cron.php?doing_wp_cron=1744864597.1555740833282470703125,200,0,WordPress/6.8; https://website.local.lan
63,20.171.207.17,2025-04-17 05:36:38+01:00,GET,/castles/nggallery/italy/royal-palace-of-turin-italy,200,11098,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
64,20.171.207.17,2025-04-17 05:36:59+01:00,GET,/music/nggallery/loreena-mckennitt/loreena-mckennitt,200,11265,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
65,20.171.207.17,2025-04-17 05:37:22+01:00,GET,/castles/nggallery/italy/chatel-argent-italy,200,10114,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
66,84.203.1.217,2025-04-17 05:37:44+01:00,POST,/wp-cron.php?doing_wp_cron=1744864663.3862791061401367187500,200,0,WordPress/6.8; https://website.local.lan
67,20.171.207.17,2025-04-17 05:37:44+01:00,GET,/wp-json/,200,13253,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
68,20.171.207.17,2025-04-17 05:38:04+01:00,GET,/wp-content/plugins/wpforms-lite/assets/js/frontend/wpforms.min.js?ver=1.9.4.2,200,13851,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
69,20.171.207.17,2025-04-17 05:38:25+01:00,GET,/music/feed/,200,416,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
70,84.203.1.217,2025-04-17 05:38:47+01:00,POST,/wp-cron.php?doing_wp_cron=1744864726.1360430717468261718750,499,0,WordPress/6.8; https://website.local.lan
71,20.171.207.17,2025-04-17 05:38:47+01:00,GET,/travels/nggallery/norway,200,9636,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
72,20.171.207.17,2025-04-17 05:39:08+01:00,GET,/travels/nggallery/turkey,200,9652,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
73,84.203.1.217,2025-04-17 05:40:13+01:00,POST,/wp-cron.php?doing_wp_cron=1744864813.5849070549011230468750,200,0,WordPress/6.8; https://website.local.lan
74,47.128.25.137,2025-04-17 05:40:13+01:00,GET,/music/nggallery/music/album/capercaillie,200,9721,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
75,20.171.207.17,2025-04-17 05:41:14+01:00,GET,/wp-content/gallery/loreena-mckennitt-20080713-brescia/f178491072-thumb.jpg,200,394974,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
76,20.171.207.17,2025-04-17 05:41:35+01:00,GET,/wp-content/gallery/loreena-mckennitt-20080713-brescia/f181938752-thumb.jpg,200,439035,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
77,84.203.1.217,2025-04-17 05:41:56+01:00,POST,/wp-cron.php?doing_wp_cron=1744864915.7708070278167724609375,200,0,WordPress/6.8; https://website.local.lan
78,20.171.207.17,2025-04-17 05:41:56+01:00,GET,/travels,301,0,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
79,20.171.207.17,2025-04-17 05:42:17+01:00,GET,/wp-content/gallery/royal-palace-of-turin-italy/MG_3019-thumb.jpg,200,1127199,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
80,84.203.1.217,2025-04-17 05:42:38+01:00,POST,/wp-cron.php?doing_wp_cron=1744864957.9052290916442871093750,200,0,WordPress/6.8; https://website.local.lan
81,20.171.207.17,2025-04-17 05:42:38+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
82,20.171.207.17,2025-04-17 05:42:59+01:00,GET,/travels/nggallery/ireland,200,9784,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
83,20.171.207.17,2025-04-17 05:43:20+01:00,GET,/wp-json/wp/v2/posts/1180,200,2601,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
84,84.203.1.217,2025-04-17 05:43:43+01:00,POST,/wp-cron.php?doing_wp_cron=1744865022.0174179077148437500000,499,0,WordPress/6.8; https://website.local.lan
85,20.171.207.17,2025-04-17 05:43:43+01:00,GET,/music/nggallery/album/alan-stivell,200,11150,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
86,20.171.207.17,2025-04-17 05:44:04+01:00,GET,/music/nggallery/album/ian-anderson,200,10714,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
87,20.171.207.17,2025-04-17 05:44:25+01:00,GET,/music/nggallery/album/altan,200,11444,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
88,20.171.207.17,2025-04-17 05:46:37+01:00,GET,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136719232-thumb.jpg,200,29051,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
89,84.203.1.217,2025-04-17 05:47:01+01:00,POST,/wp-cron.php?doing_wp_cron=1744865219.9717020988464355468750,499,0,WordPress/6.8; https://website.local.lan
90,20.171.207.17,2025-04-17 05:47:01+01:00,GET,/music/nggallery/album/alan-stivell/page/2,200,11189,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
91,20.171.207.17,2025-04-17 05:47:23+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
92,84.203.1.217,2025-04-17 05:47:47+01:00,POST,/wp-cron.php?doing_wp_cron=1744865266.4142079353332519531250,499,0,WordPress/6.8; https://website.local.lan
93,20.171.207.17,2025-04-17 05:47:48+01:00,GET,/travels/nggallery/ireland/co-clare-ireland,200,11332,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
94,20.171.207.17,2025-04-17 05:48:11+01:00,GET,/travels/nggallery/ireland/co-kerry-ireland,200,11382,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
95,20.171.207.17,2025-04-17 05:48:34+01:00,GET,/travels/nggallery/ireland/co-mayo-ireland,200,11402,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
96,84.203.1.217,2025-04-17 05:48:57+01:00,POST,/wp-cron.php?doing_wp_cron=1744865336.6111690998077392578125,200,0,WordPress/6.8; https://website.local.lan
97,20.171.207.17,2025-04-17 05:48:57+01:00,GET,/travels/nggallery/norway/lofoten-norway,200,11336,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
98,20.171.207.17,2025-04-17 05:49:20+01:00,GET,/castles/nggallery/italy/montmayeur-italy,200,10035,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
99,84.203.1.217,2025-04-17 05:49:42+01:00,POST,/wp-cron.php?doing_wp_cron=1744865381.8268079757690429687500,200,0,WordPress/6.8; https://website.local.lan
100,20.171.207.17,2025-04-17 05:49:42+01:00,GET,/music/nggallery/album/folkstone,200,11146,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
101,20.171.207.17,2025-04-17 05:50:05+01:00,GET,/music/nggallery/album/gwenael-kerleo,200,11510,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
102,20.171.207.17,2025-04-17 05:52:01+01:00,GET,/wp-content/gallery/co-mayo-ireland/raw__MG_7076-thumb.jpg,200,454412,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
103,84.203.1.217,2025-04-17 05:52:16+01:00,POST,/wp-cron.php?doing_wp_cron=1744865535.9924139976501464843750,200,0,WordPress/6.8; https://website.local.lan
104,47.128.116.247,2025-04-17 05:52:16+01:00,GET,/robots.txt,200,132,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
105,20.171.207.17,2025-04-17 05:52:23+01:00,GET,/wp-content/gallery/lofoten/raw__MG_3835-thumb.jpg,200,285454,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
106,20.171.207.17,2025-04-17 05:52:45+01:00,GET,/wp-content/gallery/co-kerry-ireland/4-thumb.jpg,200,651202,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
107,84.203.1.217,2025-04-17 05:53:07+01:00,POST,/wp-cron.php?doing_wp_cron=1744865586.9418449401855468750000,200,0,WordPress/6.8; https://website.local.lan
108,20.171.207.17,2025-04-17 05:53:07+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
109,20.171.207.17,2025-04-17 05:53:28+01:00,GET,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7846-thumb.jpg,200,29759,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
110,20.171.207.17,2025-04-17 05:53:50+01:00,GET,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7807-thumb.jpg,200,30158,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
111,84.203.1.217,2025-04-17 05:54:11+01:00,POST,/wp-cron.php?doing_wp_cron=1744865651.0823049545288085937500,200,0,WordPress/6.8; https://website.local.lan
112,20.171.207.17,2025-04-17 05:54:11+01:00,GET,/travels/nggallery/turkey/cappadocia-turkey,200,11371,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
113,20.171.207.17,2025-04-17 05:54:32+01:00,GET,/wp-json/wp/v2/pages/97,200,2693,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
114,84.203.1.217,2025-04-17 05:54:52+01:00,POST,/wp-cron.php?doing_wp_cron=1744865692.3328559398651123046875,200,0,WordPress/6.8; https://website.local.lan
115,20.171.207.17,2025-04-17 05:54:52+01:00,GET,/wp-json/wp/v2/pages/89,200,2054,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
116,20.171.207.17,2025-04-17 05:57:21+01:00,GET,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f223992424-thumb.jpg,200,31399,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
117,84.203.1.217,2025-04-17 05:57:48+01:00,POST,/wp-cron.php?doing_wp_cron=1744865867.1709380149841308593750,499,0,WordPress/6.8; https://website.local.lan
118,20.171.207.17,2025-04-17 05:57:48+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
119,20.171.207.17,2025-04-17 05:58:15+01:00,GET,/wp-includes/js/imagesloaded.min.js?ver=5.0.0,200,1801,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
120,84.203.1.217,2025-04-17 05:58:41+01:00,POST,/wp-cron.php?doing_wp_cron=1744865921.6578369140625000000000,200,0,WordPress/6.8; https://website.local.lan
121,20.171.207.17,2025-04-17 05:58:41+01:00,GET,/wp-json/wp/v2/pages/100,200,2714,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
122,20.171.207.17,2025-04-17 05:59:09+01:00,GET,/wp-json/wp/v2/posts/51,200,2630,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
123,84.203.1.217,2025-04-17 05:59:36+01:00,POST,/wp-cron.php?doing_wp_cron=1744865976.0638759136199951171875,200,0,WordPress/6.8; https://website.local.lan
124,20.171.207.17,2025-04-17 05:59:36+01:00,GET,/wp-json/wp/v2/posts/926,200,2619,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
125,20.171.207.17,2025-04-17 06:00:03+01:00,GET,/wp-json/wp/v2/posts/933,200,2586,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
